student_skill_id,student_id,skill_id,initial_assessment_date,initial_proficiency_level,current_proficiency_level,target_proficiency_level,last_assessment_date,assessment_score,hours_practiced,projects_completed,assessed_by_staff_id,learning_style,strengths,areas_for_improvement,recommended_next_steps,progress_notes,status,created_at,updated_at
SSK-621032,STU-000661,SKL-022,2025-06-17,1,3,5,2025-06-17,55.00,143,5,STF-0032,Auditory,Communication,Detail orientation,Portfolio development,Needs additional support,In Development,2022-04-18T00:00:00.000Z,2022-05-18T00:00:00.000Z
SSK-621046,STU-001613,SKL-024,2025-07-01,1,2,4,2025-07-01,69.00,157,8,STF-0035,Auditory,Communication,Detail orientation,Portfolio development,Exceeding expectations,Proficient,2022-05-02T00:00:00.000Z,2022-06-01T00:00:00.000Z
SSK-621082,STU-000661,SKL-016,2025-08-06,1,3,4,2025-08-06,54.00,193,0,STF-0027,Reading/Writing,Technical aptitude,Time management,Advanced training,Exceeding expectations,Advanced,2022-06-07T00:00:00.000Z,2022-07-07T00:00:00.000Z
SSK-621103,STU-000968,SKL-025,2025-08-27,2,4,4,2025-08-27,75.00,13,10,STF-0048,Visual,Technical aptitude,Time management,Advanced training,Excellent progress,In Development,2022-06-28T00:00:00.000Z,2022-07-28T00:00:00.000Z
SSK-621110,STU-000661,SKL-025,2025-09-03,1,1,5,2025-09-03,82.00,20,6,STF-0002,Visual,Technical aptitude,Time management,Advanced training,Needs additional support,In Development,2022-07-05T00:00:00.000Z,2022-08-04T00:00:00.000Z
SSK-621131,STU-001613,SKL-038,2025-09-24,2,2,5,2025-09-24,52.00,41,5,STF-0026,Auditory,Technical aptitude,Time management,Advanced training,,In Development,2022-07-26T00:00:00.000Z,2022-08-25T00:00:00.000Z
SSK-621217,STU-000379,SKL-026,2025-12-19,2,3,4,2025-12-19,87.00,127,3,STF-0030,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2022-10-20T00:00:00.000Z,2022-11-19T00:00:00.000Z
SSK-621244,STU-000176,SKL-016,2025-01-15,1,5,4,2025-01-15,63.00,154,8,STF-0015,Auditory,Creative vision,Technical skills,Mentorship pairing,Exceeding expectations,Proficient,2022-11-16T00:00:00.000Z,2022-12-16T00:00:00.000Z
SSK-621284,STU-000227,SKL-034,2025-02-24,1,5,5,2025-02-24,52.00,194,4,STF-0044,Reading/Writing,Communication,Detail orientation,Portfolio development,Needs additional support,Advanced,2022-12-26T00:00:00.000Z,2023-01-25T00:00:00.000Z
SSK-621363,STU-000173,SKL-026,2025-05-14,2,4,3,2025-05-14,80.00,72,6,STF-0048,Kinesthetic,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,Proficient,2023-03-15T00:00:00.000Z,2023-04-14T00:00:00.000Z
SSK-621388,STU-000877,SKL-021,2025-06-08,1,4,4,2025-06-08,54.00,97,9,STF-0046,Reading/Writing,Problem solving,Communication,Certification prep,Exceeding expectations,Needs Support,2023-04-09T00:00:00.000Z,2023-05-09T00:00:00.000Z
SSK-621440,STU-001078,SKL-019,2025-07-30,1,1,5,2025-07-30,55.00,149,6,STF-0050,Auditory,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Proficient,2023-05-31T00:00:00.000Z,2023-06-30T00:00:00.000Z
SSK-621455,STU-001851,SKL-009,2025-08-14,2,1,5,2025-08-14,70.00,164,10,STF-0011,Kinesthetic,Attention to detail,Confidence,Project leadership role,,Proficient,2023-06-15T00:00:00.000Z,2023-07-15T00:00:00.000Z
SSK-621463,STU-001619,SKL-022,2025-08-22,2,4,4,2025-08-22,78.00,172,7,STF-0017,Kinesthetic,Fast learner,Focus,Peer tutoring,Excellent progress,Proficient,2023-06-23T00:00:00.000Z,2023-07-23T00:00:00.000Z
SSK-621506,STU-000454,SKL-004,2025-10-04,1,2,5,2025-10-04,70.00,14,6,STF-0001,Visual,Team collaboration,Collaboration,Additional practice,Needs additional support,In Development,2023-08-05T00:00:00.000Z,2023-09-04T00:00:00.000Z
SSK-621509,STU-000417,SKL-022,2025-10-07,2,5,5,2025-10-07,73.00,17,9,STF-0044,Visual,Technical aptitude,Time management,Advanced training,,In Development,2023-08-08T00:00:00.000Z,2023-09-07T00:00:00.000Z
SSK-621510,STU-001262,SKL-006,2025-10-08,1,1,3,2025-10-08,74.00,18,10,STF-0035,Visual,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,In Development,2023-08-09T00:00:00.000Z,2023-09-08T00:00:00.000Z
SSK-621517,STU-001613,SKL-033,2025-10-15,2,3,4,2025-10-15,81.00,25,6,STF-0049,Visual,Creative vision,Technical skills,Mentorship pairing,Excellent progress,In Development,2023-08-16T00:00:00.000Z,2023-09-15T00:00:00.000Z
SSK-621551,STU-000661,SKL-026,2025-11-18,2,2,5,2025-11-18,64.00,59,7,STF-0048,Kinesthetic,Technical aptitude,Time management,Advanced training,,Proficient,2023-09-19T00:00:00.000Z,2023-10-19T00:00:00.000Z
SSK-621705,STU-000173,SKL-012,2025-04-21,2,1,3,2025-04-21,65.00,12,7,STF-0006,Visual,Technical aptitude,Time management,Advanced training,On track to meet goals,In Development,2024-02-20T00:00:00.000Z,2024-03-21T00:00:00.000Z
SSK-621707,STU-000186,SKL-035,2025-04-23,2,3,5,2025-04-23,67.00,14,9,STF-0019,Visual,Attention to detail,Confidence,Project leadership role,,In Development,2024-02-22T00:00:00.000Z,2024-03-23T00:00:00.000Z
SSK-621738,STU-000768,SKL-008,2025-05-24,1,4,3,2025-05-24,98.00,45,7,STF-0015,Auditory,Problem solving,Communication,Certification prep,Showing steady improvement,In Development,2024-03-24T00:00:00.000Z,2024-04-23T00:00:00.000Z
SSK-621808,STU-001212,SKL-014,2025-08-02,1,4,4,2025-08-02,66.00,115,0,STF-0048,Visual,Problem solving,Communication,Certification prep,Exceeding expectations,In Development,2024-06-02T00:00:00.000Z,2024-07-02T00:00:00.000Z
SSK-621908,STU-000748,SKL-007,2025-11-10,1,4,5,2025-11-10,64.00,14,1,STF-0049,Visual,Technical aptitude,Time management,Advanced training,Needs additional support,In Development,2024-09-10T00:00:00.000Z,2024-10-10T00:00:00.000Z
SSK-621961,STU-000227,SKL-025,2025-01-02,2,2,4,2025-01-02,66.00,67,10,STF-0003,Kinesthetic,Team collaboration,Collaboration,Additional practice,Excellent progress,Proficient,2024-11-02T00:00:00.000Z,2024-12-02T00:00:00.000Z
SSK-621978,STU-000968,SKL-029,2025-01-19,1,4,3,2025-01-19,83.00,84,5,STF-0024,Reading/Writing,Technical aptitude,Time management,Advanced training,Showing steady improvement,Advanced,2024-11-19T00:00:00.000Z,2024-12-19T00:00:00.000Z
SSK-621998,STU-000176,SKL-012,2025-02-08,1,4,5,2025-02-08,52.00,104,3,STF-0023,Mixed,Communication,Detail orientation,Portfolio development,Needs additional support,Not Started,2024-12-09T00:00:00.000Z,2025-01-08T00:00:00.000Z
SSK-622033,STU-001869,SKL-033,2025-03-15,2,4,4,2025-03-15,87.00,139,5,STF-0048,Auditory,Communication,Detail orientation,Portfolio development,Excellent progress,In Development,2025-01-13T00:00:00.000Z,2025-02-12T00:00:00.000Z
SSK-622122,STU-000227,SKL-014,2025-06-12,1,3,3,2025-06-12,74.00,27,6,STF-0048,Visual,Team collaboration,Collaboration,Additional practice,Showing steady improvement,In Development,2025-04-12T00:00:00.000Z,2025-05-12T00:00:00.000Z
SSK-622124,STU-000322,SKL-028,2025-06-14,1,5,5,2025-06-14,76.00,29,8,STF-0015,Visual,Communication,Detail orientation,Portfolio development,Needs additional support,In Development,2025-04-14T00:00:00.000Z,2025-05-14T00:00:00.000Z
SSK-622184,STU-000454,SKL-035,2025-08-13,1,5,5,2025-08-13,85.00,89,2,STF-0002,Reading/Writing,Fast learner,Focus,Peer tutoring,Needs additional support,Advanced,2025-06-13T00:00:00.000Z,2025-07-13T00:00:00.000Z
SSK-622188,STU-001129,SKL-004,2025-08-17,1,4,3,2025-08-17,89.00,93,6,STF-0039,Reading/Writing,Technical aptitude,Time management,Advanced training,Showing steady improvement,Needs Support,2025-06-17T00:00:00.000Z,2025-07-17T00:00:00.000Z
SSK-622190,STU-000968,SKL-024,2025-08-19,1,1,5,2025-08-19,91.00,95,8,STF-0041,Mixed,Attention to detail,Confidence,Project leadership role,Needs additional support,Needs Support,2025-06-19T00:00:00.000Z,2025-07-19T00:00:00.000Z
SSK-622226,STU-001790,SKL-029,2025-09-24,1,2,5,2025-09-24,76.00,131,0,STF-0027,Visual,Fast learner,Focus,Peer tutoring,Needs additional support,In Development,2025-07-25T00:00:00.000Z,2025-08-24T00:00:00.000Z
SSK-622355,STU-001936,SKL-038,2025-01-31,2,1,5,2025-01-31,52.00,59,8,STF-0027,Kinesthetic,Communication,Detail orientation,Portfolio development,,Proficient,2025-12-01T00:00:00.000Z,2025-12-31T00:00:00.000Z
SSK-622369,STU-000996,SKL-006,2025-02-14,2,5,4,2025-02-14,66.00,73,0,STF-0003,Kinesthetic,Communication,Detail orientation,Portfolio development,Excellent progress,Proficient,2025-12-15T00:00:00.000Z,2026-01-14T00:00:00.000Z
SSK-622372,STU-001900,SKL-021,2025-02-17,1,3,4,2025-02-17,69.00,76,3,STF-0019,Kinesthetic,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Advanced,2025-12-18T00:00:00.000Z,2026-01-17T00:00:00.000Z
SSK-622379,STU-000896,SKL-040,2025-02-24,2,5,5,2025-02-24,76.00,83,10,STF-0005,Reading/Writing,Attention to detail,Confidence,Project leadership role,,Advanced,2025-12-25T00:00:00.000Z,2026-01-24T00:00:00.000Z
SSK-622389,STU-000454,SKL-009,2025-03-06,2,5,3,2025-03-06,86.00,93,9,STF-0027,Reading/Writing,Problem solving,Communication,Certification prep,On track to meet goals,Needs Support,2022-01-04T00:00:00.000Z,2022-02-03T00:00:00.000Z
SSK-622441,STU-000227,SKL-026,2025-04-27,2,2,4,2025-04-27,87.00,145,6,STF-0041,Auditory,Creative vision,Technical skills,Mentorship pairing,Excellent progress,Proficient,2022-02-25T00:00:00.000Z,2022-03-27T00:00:00.000Z
SSK-622542,STU-000947,SKL-026,2025-08-06,1,3,3,2025-08-06,86.00,45,8,STF-0044,Auditory,Team collaboration,Collaboration,Additional practice,Showing steady improvement,Proficient,2022-06-06T00:00:00.000Z,2022-07-06T00:00:00.000Z
SSK-622579,STU-000502,SKL-018,2025-09-12,2,5,4,2025-09-12,72.00,82,1,STF-0041,Reading/Writing,Communication,Detail orientation,Portfolio development,Excellent progress,Advanced,2022-07-13T00:00:00.000Z,2022-08-12T00:00:00.000Z
SSK-622594,STU-001076,SKL-024,2025-09-27,1,5,4,2025-09-27,87.00,97,5,STF-0031,Mixed,Technical aptitude,Time management,Advanced training,Exceeding expectations,Needs Support,2022-07-28T00:00:00.000Z,2022-08-27T00:00:00.000Z
SSK-622617,STU-001869,SKL-039,2025-10-20,2,3,3,2025-10-20,59.00,120,6,STF-0002,Visual,Attention to detail,Confidence,Project leadership role,On track to meet goals,In Development,2022-08-20T00:00:00.000Z,2022-09-19T00:00:00.000Z
SSK-622628,STU-001790,SKL-010,2025-10-31,1,4,5,2025-10-31,70.00,131,6,STF-0024,Visual,Communication,Detail orientation,Portfolio development,Needs additional support,In Development,2022-08-31T00:00:00.000Z,2022-09-30T00:00:00.000Z
SSK-622642,STU-001100,SKL-012,2025-11-14,1,3,4,2025-11-14,84.00,145,9,STF-0050,Auditory,Communication,Detail orientation,Portfolio development,Exceeding expectations,Proficient,2022-09-14T00:00:00.000Z,2022-10-14T00:00:00.000Z
SSK-622682,STU-000176,SKL-012,2025-12-24,1,3,5,2025-12-24,73.00,185,5,STF-0006,Reading/Writing,Team collaboration,Collaboration,Additional practice,Needs additional support,Advanced,2022-10-24T00:00:00.000Z,2022-11-23T00:00:00.000Z
SSK-622683,STU-001078,SKL-002,2025-12-25,2,4,3,2025-12-25,74.00,186,6,STF-0021,Reading/Writing,Problem solving,Communication,Certification prep,On track to meet goals,Advanced,2022-10-25T00:00:00.000Z,2022-11-24T00:00:00.000Z
SSK-622697,STU-000417,SKL-010,2025-01-08,2,3,5,2025-01-08,88.00,200,9,STF-0036,Mixed,Problem solving,Communication,Certification prep,,Not Started,2022-11-08T00:00:00.000Z,2022-12-08T00:00:00.000Z
SSK-622740,STU-001418,SKL-010,2025-02-20,1,1,3,2025-02-20,80.00,42,8,STF-0031,Auditory,Communication,Detail orientation,Portfolio development,Showing steady improvement,Proficient,2022-12-21T00:00:00.000Z,2023-01-20T00:00:00.000Z
SSK-622743,STU-001616,SKL-025,2025-02-23,2,4,3,2025-02-23,83.00,45,0,STF-0009,Auditory,Attention to detail,Confidence,Project leadership role,On track to meet goals,Proficient,2022-12-24T00:00:00.000Z,2023-01-23T00:00:00.000Z
SSK-622864,STU-001792,SKL-014,2025-06-24,1,5,4,2025-06-24,51.00,166,0,STF-0026,Kinesthetic,Team collaboration,Collaboration,Additional practice,Exceeding expectations,Proficient,2023-04-24T00:00:00.000Z,2023-05-24T00:00:00.000Z
SSK-622876,STU-000661,SKL-024,2025-07-06,1,2,4,2025-07-06,63.00,178,1,STF-0050,Reading/Writing,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Advanced,2023-05-06T00:00:00.000Z,2023-06-05T00:00:00.000Z
SSK-622946,STU-001631,SKL-030,2025-09-14,1,2,5,2025-09-14,82.00,47,5,STF-0020,Auditory,Attention to detail,Confidence,Project leadership role,Needs additional support,Proficient,2023-07-15T00:00:00.000Z,2023-08-14T00:00:00.000Z
SSK-622995,STU-000322,SKL-010,2025-11-02,2,1,3,2025-11-02,80.00,96,10,STF-0031,Mixed,Attention to detail,Confidence,Project leadership role,On track to meet goals,Not Started,2023-09-02T00:00:00.000Z,2023-10-02T00:00:00.000Z
SSK-623103,STU-000356,SKL-004,2025-02-18,2,4,3,2025-02-18,86.00,3,8,STF-0050,Visual,Problem solving,Communication,Certification prep,On track to meet goals,In Development,2023-12-19T00:00:00.000Z,2024-01-18T00:00:00.000Z
SSK-623129,STU-000417,SKL-039,2025-03-16,2,5,5,2025-03-16,61.00,29,1,STF-0003,Visual,Fast learner,Focus,Peer tutoring,,In Development,2024-01-14T00:00:00.000Z,2024-02-13T00:00:00.000Z
SSK-623211,STU-000778,SKL-009,2025-06-06,2,2,3,2025-06-06,92.00,111,6,STF-0041,Visual,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,In Development,2024-04-05T00:00:00.000Z,2024-05-05T00:00:00.000Z
SSK-623218,STU-000454,SKL-024,2025-06-13,1,4,4,2025-06-13,99.00,118,2,STF-0047,Visual,Creative vision,Technical skills,Mentorship pairing,Exceeding expectations,In Development,2024-04-12T00:00:00.000Z,2024-05-12T00:00:00.000Z
SSK-623275,STU-001100,SKL-023,2025-08-09,2,1,4,2025-08-09,54.00,175,4,STF-0014,Reading/Writing,Attention to detail,Confidence,Project leadership role,Excellent progress,Advanced,2024-06-08T00:00:00.000Z,2024-07-08T00:00:00.000Z
SSK-623378,STU-000173,SKL-031,2025-11-20,1,4,5,2025-11-20,55.00,77,8,STF-0001,Reading/Writing,Technical aptitude,Time management,Advanced training,Needs additional support,Advanced,2024-09-19T00:00:00.000Z,2024-10-19T00:00:00.000Z
SSK-623379,STU-000896,SKL-023,2025-11-21,2,5,3,2025-11-21,56.00,78,9,STF-0031,Reading/Writing,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,Advanced,2024-09-20T00:00:00.000Z,2024-10-20T00:00:00.000Z
SSK-623434,STU-000176,SKL-002,2025-01-15,1,5,4,2025-01-15,60.00,133,9,STF-0016,Auditory,Technical aptitude,Time management,Advanced training,Exceeding expectations,In Development,2024-11-14T00:00:00.000Z,2024-12-14T00:00:00.000Z
SSK-623461,STU-001212,SKL-004,2025-02-11,2,2,4,2025-02-11,87.00,160,3,STF-0030,Kinesthetic,Communication,Detail orientation,Portfolio development,Excellent progress,Proficient,2024-12-11T00:00:00.000Z,2025-01-10T00:00:00.000Z
SSK-623513,STU-000008,SKL-032,2025-04-04,2,4,5,2025-04-04,88.00,11,0,STF-0011,Visual,Attention to detail,Confidence,Project leadership role,,In Development,2025-02-01T00:00:00.000Z,2025-03-03T00:00:00.000Z
SSK-623557,STU-001181,SKL-027,2025-05-18,2,3,4,2025-05-18,81.00,55,0,STF-0018,Kinesthetic,Team collaboration,Collaboration,Additional practice,Excellent progress,Proficient,2025-03-17T00:00:00.000Z,2025-04-16T00:00:00.000Z
SSK-623585,STU-001969,SKL-003,2025-06-15,2,1,5,2025-06-15,58.00,83,6,STF-0010,Reading/Writing,Team collaboration,Collaboration,Additional practice,,Needs Support,2025-04-14T00:00:00.000Z,2025-05-14T00:00:00.000Z
SSK-623587,STU-001133,SKL-040,2025-06-17,2,3,4,2025-06-17,60.00,85,8,STF-0020,Reading/Writing,Communication,Detail orientation,Portfolio development,Excellent progress,Needs Support,2025-04-16T00:00:00.000Z,2025-05-16T00:00:00.000Z
SSK-623601,STU-001133,SKL-030,2025-07-01,2,2,3,2025-07-01,74.00,99,0,STF-0015,Visual,Communication,Detail orientation,Portfolio development,On track to meet goals,In Development,2025-04-30T00:00:00.000Z,2025-05-30T00:00:00.000Z
SSK-623602,STU-001078,SKL-005,2025-07-02,1,3,4,2025-07-02,75.00,100,1,STF-0031,Visual,Technical aptitude,Time management,Advanced training,Exceeding expectations,In Development,2025-05-01T00:00:00.000Z,2025-05-31T00:00:00.000Z
SSK-623736,STU-000877,SKL-012,2025-11-13,1,2,3,2025-11-13,56.00,33,3,STF-0041,Auditory,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,In Development,2025-09-12T00:00:00.000Z,2025-10-12T00:00:00.000Z
SSK-623738,STU-000502,SKL-014,2025-11-15,1,4,5,2025-11-15,58.00,35,5,STF-0017,Auditory,Fast learner,Focus,Peer tutoring,Needs additional support,In Development,2025-09-14T00:00:00.000Z,2025-10-14T00:00:00.000Z
SSK-623759,STU-001124,SKL-029,2025-12-06,2,5,5,2025-12-06,79.00,56,4,STF-0047,Kinesthetic,Fast learner,Focus,Peer tutoring,,Proficient,2025-10-05T00:00:00.000Z,2025-11-04T00:00:00.000Z
SSK-623764,STU-000768,SKL-017,2025-12-11,1,5,4,2025-12-11,84.00,61,9,STF-0012,Kinesthetic,Creative vision,Technical skills,Mentorship pairing,Exceeding expectations,Proficient,2025-10-10T00:00:00.000Z,2025-11-09T00:00:00.000Z
SSK-623777,STU-001613,SKL-024,2025-12-24,2,3,5,2025-12-24,97.00,74,0,STF-0050,Reading/Writing,Technical aptitude,Time management,Advanced training,,Advanced,2025-10-23T00:00:00.000Z,2025-11-22T00:00:00.000Z
SSK-623895,STU-000778,SKL-029,2025-04-21,2,1,3,2025-04-21,62.00,192,8,STF-0047,Mixed,Communication,Detail orientation,Portfolio development,On track to meet goals,Not Started,2022-02-18T00:00:00.000Z,2022-03-20T00:00:00.000Z
SSK-623959,STU-001851,SKL-002,2025-06-24,2,5,4,2025-06-24,75.00,55,6,STF-0029,Kinesthetic,Technical aptitude,Time management,Advanced training,Excellent progress,Proficient,2022-04-23T00:00:00.000Z,2022-05-23T00:00:00.000Z
SSK-623972,STU-000610,SKL-030,2025-07-07,1,3,5,2025-07-07,88.00,68,8,STF-0040,Kinesthetic,Communication,Detail orientation,Portfolio development,Needs additional support,Advanced,2022-05-06T00:00:00.000Z,2022-06-05T00:00:00.000Z
SSK-624088,STU-000968,SKL-025,2025-10-31,1,4,4,2025-10-31,51.00,184,3,STF-0022,Reading/Writing,Fast learner,Focus,Peer tutoring,Exceeding expectations,Needs Support,2022-08-30T00:00:00.000Z,2022-09-29T00:00:00.000Z
SSK-624089,STU-001790,SKL-034,2025-11-01,2,5,5,2025-11-01,52.00,185,4,STF-0020,Reading/Writing,Team collaboration,Collaboration,Additional practice,,Needs Support,2022-08-31T00:00:00.000Z,2022-09-30T00:00:00.000Z
SSK-624178,STU-001262,SKL-031,2025-01-29,1,4,4,2025-01-29,90.00,73,5,STF-0001,Reading/Writing,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Advanced,2022-11-28T00:00:00.000Z,2022-12-28T00:00:00.000Z
SSK-624212,STU-000186,SKL-031,2025-03-04,1,3,5,2025-03-04,73.00,107,6,STF-0021,Visual,Creative vision,Technical skills,Mentorship pairing,Needs additional support,In Development,2023-01-01T00:00:00.000Z,2023-01-31T00:00:00.000Z
SSK-624227,STU-000186,SKL-007,2025-03-19,2,3,5,2025-03-19,88.00,122,10,STF-0028,Visual,Attention to detail,Confidence,Project leadership role,,In Development,2023-01-16T00:00:00.000Z,2023-02-15T00:00:00.000Z
SSK-624240,STU-001078,SKL-013,2025-04-01,1,1,3,2025-04-01,50.00,135,1,STF-0033,Auditory,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,Proficient,2023-01-29T00:00:00.000Z,2023-02-28T00:00:00.000Z
SSK-624267,STU-000281,SKL-035,2025-04-28,2,3,3,2025-04-28,77.00,162,6,STF-0012,Kinesthetic,Technical aptitude,Time management,Advanced training,On track to meet goals,Proficient,2023-02-25T00:00:00.000Z,2023-03-27T00:00:00.000Z
SSK-624296,STU-000011,SKL-036,2025-05-27,1,2,5,2025-05-27,55.00,191,2,STF-0017,Mixed,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Not Started,2023-03-26T00:00:00.000Z,2023-04-25T00:00:00.000Z
SSK-624309,STU-001100,SKL-011,2025-06-09,2,5,3,2025-06-09,68.00,3,4,STF-0001,Visual,Technical aptitude,Time management,Advanced training,On track to meet goals,In Development,2023-04-08T00:00:00.000Z,2023-05-08T00:00:00.000Z
SSK-624325,STU-000252,SKL-009,2025-06-25,2,1,4,2025-06-25,84.00,19,9,STF-0010,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2023-04-24T00:00:00.000Z,2023-05-24T00:00:00.000Z
SSK-624332,STU-000176,SKL-002,2025-07-02,1,3,5,2025-07-02,91.00,26,5,STF-0044,Auditory,Attention to detail,Confidence,Project leadership role,Needs additional support,In Development,2023-05-01T00:00:00.000Z,2023-05-31T00:00:00.000Z
