goal_id,student_id,goal_type,goal_title,description,start_date,target_completion_date,actual_completion_date,priority,progress_percentage,milestones_total,milestones_completed,mentor_assigned_id,staff_assigned_id,program_id,barriers_identified,support_needed,last_review_date,next_review_date,notes,status,created_at,updated_at
GOL-370669,STU-001017,Financial,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-07-14,2025-09-15,null,Medium,100,7,4,MNT-0198,STF-0019,null,Transportation,Financial assistance,2025-07-14,2025-08-13,Additional support provided,Completed,2023-08-10T00:00:00.000Z,2023-08-24T00:00:00.000Z
GOL-370689,STU-001788,Creative,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-08-03,2025-12-14,2025-10-15,Low,19,6,6,MNT-0036,STF-0020,PRG-001,Academic demands,Tutoring,2025-08-03,2025-09-02,Revised timeline,On Hold,2023-08-30T00:00:00.000Z,2023-09-13T00:00:00.000Z
GOL-370719,STU-001102,Career,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-09-02,2026-02-12,2025-10-19,High,49,8,0,MNT-0128,STF-0048,PRG-011,None,Flexible scheduling,2025-09-02,2025-10-02,Excellent progress,Active,2023-09-29T00:00:00.000Z,2023-10-13T00:00:00.000Z
GOL-370720,STU-001641,Career,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-09-03,2025-10-30,null,High,50,2,1,null,STF-0004,PRG-005,None,None additional,2025-09-03,2025-10-03,,Active,2023-09-30T00:00:00.000Z,2023-10-14T00:00:00.000Z
GOL-370759,STU-000582,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-10-12,2026-03-23,null,Medium,89,6,4,MNT-0017,STF-0003,PRG-015,Resource access,Flexible scheduling,2025-10-12,2025-11-11,Revised timeline,Completed,2023-11-08T00:00:00.000Z,2023-11-22T00:00:00.000Z
GOL-370829,STU-000567,Career,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-12-21,2026-06-10,null,High,58,6,2,null,STF-0023,PRG-005,None,Financial assistance,2025-12-21,2026-01-20,Revised timeline,Active,2024-01-17T00:00:00.000Z,2024-01-31T00:00:00.000Z
GOL-370862,STU-000844,Personal Growth,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-01-23,2025-06-25,null,Medium,91,4,8,null,STF-0036,PRG-009,Transportation,Counseling,2025-01-23,2025-02-22,Ahead of schedule,Completed,2024-02-19T00:00:00.000Z,2024-03-04T00:00:00.000Z
GOL-370936,STU-001527,Skills Development,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-04-07,2025-06-13,null,Medium,64,8,1,MNT-0160,STF-0045,null,Time constraints,None additional,2025-04-07,2025-05-07,Excellent progress,Active,2024-05-03T00:00:00.000Z,2024-05-17T00:00:00.000Z
GOL-371006,STU-001527,Academic,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-06-16,2025-10-06,2026-01-07,High,33,8,8,null,STF-0006,null,None,Counseling,2025-06-16,2025-07-16,Excellent progress,Active,2024-07-12T00:00:00.000Z,2024-07-26T00:00:00.000Z
GOL-371025,STU-000187,Career,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-07-05,2025-10-21,2025-12-06,High,52,6,0,MNT-0091,STF-0028,PRG-015,None,Tutoring,2025-07-05,2025-08-04,Revised timeline,Active,2024-07-31T00:00:00.000Z,2024-08-14T00:00:00.000Z
GOL-371058,STU-000305,Personal Growth,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-08-07,2025-10-29,2025-09-15,Medium,85,4,6,MNT-0014,STF-0015,PRG-014,Resource access,Mentoring,2025-08-07,2025-09-06,Ahead of schedule,Completed,2024-09-02T00:00:00.000Z,2024-09-16T00:00:00.000Z
GOL-371105,STU-000474,Academic,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-09-23,2026-04-02,null,High,31,2,8,MNT-0126,STF-0036,PRG-005,None,Tutoring,2025-09-23,2025-10-23,,Active,2024-10-19T00:00:00.000Z,2024-11-02T00:00:00.000Z
GOL-371135,STU-001937,Skills Development,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-10-23,2025-12-05,2026-02-02,Medium,61,4,2,MNT-0134,STF-0033,PRG-008,Time constraints,Flexible scheduling,2025-10-23,2025-11-22,Ahead of schedule,Active,2024-11-18T00:00:00.000Z,2024-12-02T00:00:00.000Z
GOL-371147,STU-001234,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-11-04,2026-01-18,2026-01-12,Medium,73,2,5,MNT-0090,STF-0027,null,Time constraints,Equipment access,2025-11-04,2025-12-04,,Completed,2024-11-30T00:00:00.000Z,2024-12-14T00:00:00.000Z
GOL-371186,STU-000384,Creative,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-12-13,2026-03-16,2026-07-03,Low,11,6,8,MNT-0143,STF-0003,PRG-013,Academic demands,Mentoring,2025-12-13,2026-01-12,Revised timeline,On Hold,2025-01-08T00:00:00.000Z,2025-01-22T00:00:00.000Z
GOL-371252,STU-000527,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-02-17,2025-04-12,2025-06-27,Medium,77,2,2,MNT-0031,STF-0038,PRG-008,Resource access,Transportation,2025-02-17,2025-03-19,,Completed,2025-03-15T00:00:00.000Z,2025-03-29T00:00:00.000Z
GOL-371277,STU-001891,Health/Wellness,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-03-14,2025-07-18,2025-09-05,Medium,1,6,0,MNT-0199,STF-0033,PRG-006,Personal challenges,Financial assistance,2025-03-14,2025-04-13,Revised timeline,Completed,2025-04-09T00:00:00.000Z,2025-04-23T00:00:00.000Z
GOL-371303,STU-000305,Academic,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-04-09,2025-06-10,null,High,27,4,8,null,STF-0032,PRG-004,None,Flexible scheduling,2025-04-09,2025-05-09,Ahead of schedule,Active,2025-05-05T00:00:00.000Z,2025-05-19T00:00:00.000Z
GOL-371313,STU-001429,Academic,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-04-19,2025-09-15,2025-09-10,High,37,7,0,MNT-0004,STF-0031,null,None,Tutoring,2025-04-19,2025-05-19,Additional support provided,Active,2025-05-15T00:00:00.000Z,2025-05-29T00:00:00.000Z
GOL-371315,STU-002000,Career,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-04-21,2025-08-09,2025-07-21,High,39,2,2,MNT-0160,STF-0014,null,None,Equipment access,2025-04-21,2025-05-21,,Active,2025-05-17T00:00:00.000Z,2025-05-31T00:00:00.000Z
GOL-371350,STU-000582,Skills Development,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-05-26,2025-12-06,2025-07-29,Medium,74,2,1,MNT-0134,STF-0018,PRG-004,Resource access,Counseling,2025-05-26,2025-06-25,,Completed,2025-06-21T00:00:00.000Z,2025-07-05T00:00:00.000Z
GOL-371479,STU-001532,Health/Wellness,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-10-02,2026-02-18,2026-01-31,Medium,1,5,4,null,STF-0027,null,Personal challenges,Flexible scheduling,2025-10-02,2025-11-01,Needs attention,Completed,2025-10-28T00:00:00.000Z,2025-11-11T00:00:00.000Z
GOL-371525,STU-000187,Career,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-11-17,2026-02-15,2026-02-17,High,47,2,5,MNT-0188,STF-0001,PRG-008,None,Financial assistance,2025-11-17,2025-12-17,,Active,2025-12-13T00:00:00.000Z,2025-12-27T00:00:00.000Z
GOL-371528,STU-001631,Career,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-11-20,2026-04-15,2026-06-19,High,50,5,8,MNT-0015,STF-0008,PRG-012,None,None additional,2025-11-20,2025-12-20,Needs attention,Active,2025-12-16T00:00:00.000Z,2025-12-30T00:00:00.000Z
GOL-371564,STU-001532,Personal Growth,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-12-26,2026-04-24,null,Medium,86,6,8,null,STF-0011,null,Transportation,Transportation,2025-12-26,2026-01-25,Revised timeline,Completed,2023-01-21T00:00:00.000Z,2023-02-04T00:00:00.000Z
GOL-371602,STU-000469,Academic,College application completion,College application completion - Personal development goal for Better Youth student,2025-02-02,2025-03-14,null,High,23,2,1,MNT-0146,STF-0026,null,None,Mentoring,2025-02-02,2025-03-04,,Active,2023-02-28T00:00:00.000Z,2023-03-14T00:00:00.000Z
GOL-371630,STU-000983,Career,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-03-02,2025-09-19,2025-09-03,Medium,51,2,2,MNT-0199,STF-0029,PRG-004,None,Counseling,2025-03-02,2025-04-01,,Active,2023-03-28T00:00:00.000Z,2023-04-11T00:00:00.000Z
GOL-371632,STU-000582,Career,College application completion,College application completion - Personal development goal for Better Youth student,2025-03-04,2025-05-08,null,Medium,53,4,4,null,STF-0012,PRG-003,None,None additional,2025-03-04,2025-04-03,Ahead of schedule,Active,2023-03-30T00:00:00.000Z,2023-04-13T00:00:00.000Z
GOL-371663,STU-000794,Personal Growth,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-04-04,2025-07-02,2025-10-11,Medium,84,7,8,MNT-0121,STF-0024,PRG-008,Transportation,Flexible scheduling,2025-04-04,2025-05-04,Additional support provided,Completed,2023-04-30T00:00:00.000Z,2023-05-14T00:00:00.000Z
GOL-371682,STU-000469,Creative,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-04-23,2025-08-23,2025-06-25,Low,2,5,0,MNT-0047,STF-0017,null,Academic demands,Mentoring,2025-04-23,2025-05-23,Needs attention,On Hold,2023-05-19T00:00:00.000Z,2023-06-02T00:00:00.000Z
GOL-371747,STU-001138,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-06-27,2025-08-18,null,Medium,67,7,2,MNT-0170,STF-0013,PRG-012,Time constraints,Equipment access,2025-06-27,2025-07-27,Additional support provided,Completed,2023-07-23T00:00:00.000Z,2023-08-06T00:00:00.000Z
GOL-371805,STU-000567,Academic,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-08-24,2026-02-19,null,High,24,2,6,null,STF-0036,null,None,Financial assistance,2025-08-24,2025-09-23,,Active,2023-09-19T00:00:00.000Z,2023-10-03T00:00:00.000Z
GOL-371806,STU-000765,Academic,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-08-25,2025-12-15,2026-01-13,High,25,3,7,MNT-0172,STF-0033,null,None,Counseling,2025-08-25,2025-09-24,On track,Active,2023-09-20T00:00:00.000Z,2023-10-04T00:00:00.000Z
GOL-371820,STU-000603,Career,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-09-08,2026-02-10,null,High,39,3,3,null,STF-0047,null,None,Transportation,2025-09-08,2025-10-08,On track,Active,2023-10-04T00:00:00.000Z,2023-10-18T00:00:00.000Z
GOL-371915,STU-000618,Career,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-12-12,2026-06-08,2026-02-10,High,33,7,8,null,STF-0036,PRG-013,None,Equipment access,2025-12-12,2026-01-11,Additional support provided,Active,2024-01-07T00:00:00.000Z,2024-01-21T00:00:00.000Z
GOL-371966,STU-000186,Financial,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-02-01,2025-05-28,2025-06-01,Medium,84,2,5,MNT-0101,STF-0044,null,Transportation,Counseling,2025-02-01,2025-03-03,,Completed,2024-02-27T00:00:00.000Z,2024-03-12T00:00:00.000Z
GOL-372040,STU-000384,Skills Development,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-04-16,2025-06-17,null,Medium,57,6,7,MNT-0016,STF-0048,PRG-010,Time constraints,None additional,2025-04-16,2025-05-16,Revised timeline,Active,2024-05-11T00:00:00.000Z,2024-05-25T00:00:00.000Z
GOL-372064,STU-000618,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-05-10,2025-12-04,null,Medium,81,2,4,null,STF-0042,PRG-008,Transportation,None additional,2025-05-10,2025-06-09,,Completed,2024-06-04T00:00:00.000Z,2024-06-18T00:00:00.000Z
GOL-372127,STU-000865,Career,College application completion,College application completion - Personal development goal for Better Youth student,2025-07-12,2025-08-11,null,High,43,2,4,MNT-0190,STF-0040,PRG-015,None,Flexible scheduling,2025-07-12,2025-08-11,,Active,2024-08-06T00:00:00.000Z,2024-08-20T00:00:00.000Z
GOL-372140,STU-001937,Skills Development,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-07-25,2025-12-14,2026-01-12,Medium,56,8,8,MNT-0055,STF-0008,PRG-015,Time constraints,Transportation,2025-07-25,2025-08-24,Excellent progress,Active,2024-08-19T00:00:00.000Z,2024-09-02T00:00:00.000Z
GOL-372162,STU-001148,Personal Growth,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-08-16,2025-11-21,2025-11-06,Medium,78,2,3,null,STF-0010,PRG-006,Transportation,Mentoring,2025-08-16,2025-09-15,,Completed,2024-09-10T00:00:00.000Z,2024-09-24T00:00:00.000Z
GOL-372239,STU-001891,Skills Development,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-11-01,2026-02-27,null,Medium,54,2,8,null,STF-0001,PRG-003,Time constraints,Flexible scheduling,2025-11-01,2025-12-01,,Active,2024-11-26T00:00:00.000Z,2024-12-10T00:00:00.000Z
GOL-372374,STU-001102,Health/Wellness,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-03-16,2025-08-24,null,Medium,88,4,8,MNT-0073,STF-0015,PRG-001,Personal challenges,Counseling,2025-03-16,2025-04-15,Ahead of schedule,Completed,2025-04-10T00:00:00.000Z,2025-04-24T00:00:00.000Z
GOL-372420,STU-001102,Career,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-05-01,2025-10-23,2025-11-30,High,33,8,0,MNT-0118,STF-0013,PRG-015,None,Transportation,2025-05-01,2025-05-31,Excellent progress,Active,2025-05-26T00:00:00.000Z,2025-06-09T00:00:00.000Z
GOL-372451,STU-001641,Skills Development,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-06-01,2025-08-04,null,Medium,64,4,4,MNT-0046,STF-0036,null,Resource access,Equipment access,2025-06-01,2025-07-01,Ahead of schedule,Completed,2025-06-26T00:00:00.000Z,2025-07-10T00:00:00.000Z
GOL-372466,STU-000912,Financial,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-06-16,2025-07-16,2025-12-31,Medium,79,5,1,MNT-0127,STF-0040,PRG-004,Transportation,Mentoring,2025-06-16,2025-07-16,Needs attention,Completed,2025-07-11T00:00:00.000Z,2025-07-25T00:00:00.000Z
GOL-372487,STU-001004,Creative,College application completion,College application completion - Personal development goal for Better Youth student,2025-07-07,2025-11-09,2025-11-20,Low,100,5,4,MNT-0175,STF-0018,PRG-007,Academic demands,Flexible scheduling,2025-07-07,2025-08-06,Needs attention,On Hold,2025-08-01T00:00:00.000Z,2025-08-15T00:00:00.000Z
GOL-372517,STU-001917,Career,College application completion,College application completion - Personal development goal for Better Youth student,2025-08-06,2026-02-27,null,High,29,7,7,MNT-0092,STF-0006,null,None,Financial assistance,2025-08-06,2025-09-05,Additional support provided,Active,2025-08-31T00:00:00.000Z,2025-09-14T00:00:00.000Z
GOL-372593,STU-000568,Leadership,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-10-21,2026-05-05,null,Low,4,6,2,MNT-0169,STF-0033,null,Work schedule,Tutoring,2025-10-21,2025-11-20,Revised timeline,Cancelled,2025-11-15T00:00:00.000Z,2025-11-29T00:00:00.000Z
GOL-372597,STU-001779,Community,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-10-25,2026-05-08,null,Low,8,3,6,MNT-0099,STF-0004,PRG-014,Health issues,Financial assistance,2025-10-25,2025-11-24,On track,Deferred,2025-11-19T00:00:00.000Z,2025-12-03T00:00:00.000Z
GOL-372653,STU-001891,Personal Growth,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-12-20,2026-03-05,null,Medium,64,3,8,MNT-0061,STF-0035,PRG-009,Resource access,Financial assistance,2025-12-20,2026-01-19,On track,Completed,2023-01-14T00:00:00.000Z,2023-01-28T00:00:00.000Z
GOL-372698,STU-000865,Community,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-02-03,2025-03-31,2025-06-21,Low,8,6,8,MNT-0073,STF-0007,null,Health issues,Mentoring,2025-02-03,2025-03-05,Revised timeline,Deferred,2023-02-28T00:00:00.000Z,2023-03-14T00:00:00.000Z
GOL-372729,STU-000474,Career,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-03-06,2025-09-03,null,High,39,2,3,MNT-0114,STF-0009,PRG-013,None,Tutoring,2025-03-06,2025-04-05,,Active,2023-03-31T00:00:00.000Z,2023-04-14T00:00:00.000Z
GOL-372793,STU-001225,Leadership,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-05-09,2025-08-04,null,Low,2,3,4,MNT-0030,STF-0001,PRG-007,Work schedule,Tutoring,2025-05-09,2025-06-08,On track,Cancelled,2023-06-03T00:00:00.000Z,2023-06-17T00:00:00.000Z
GOL-372841,STU-000187,Skills Development,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-06-26,2025-11-03,null,Medium,50,2,7,null,STF-0039,PRG-009,Time constraints,Tutoring,2025-06-26,2025-07-26,,Active,2023-07-21T00:00:00.000Z,2023-08-04T00:00:00.000Z
GOL-372907,STU-000582,Academic,College application completion,College application completion - Personal development goal for Better Youth student,2025-08-31,2025-12-10,2025-11-26,High,15,5,1,MNT-0074,STF-0040,PRG-011,None,Equipment access,2025-08-31,2025-09-30,Needs attention,Active,2023-09-25T00:00:00.000Z,2023-10-09T00:00:00.000Z
GOL-373020,STU-000920,Career,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-12-22,2026-01-21,null,High,27,6,6,MNT-0080,STF-0048,PRG-014,None,Transportation,2025-12-22,2026-01-21,Revised timeline,Active,2024-01-16T00:00:00.000Z,2024-01-30T00:00:00.000Z
GOL-373029,STU-000582,Career,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-12-31,2026-03-24,null,High,36,8,6,MNT-0082,STF-0011,PRG-012,None,Financial assistance,2025-12-31,2026-01-30,Excellent progress,Active,2024-01-25T00:00:00.000Z,2024-02-08T00:00:00.000Z
GOL-373036,STU-001032,Skills Development,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-01-07,2025-06-13,2025-07-11,Medium,43,8,4,null,STF-0006,PRG-011,Time constraints,Transportation,2025-01-07,2025-02-06,Excellent progress,Active,2024-02-01T00:00:00.000Z,2024-02-15T00:00:00.000Z
GOL-373069,STU-000920,Financial,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-02-09,2025-04-20,2025-07-25,Medium,76,6,1,MNT-0025,STF-0020,PRG-015,Transportation,Financial assistance,2025-02-09,2025-03-11,Revised timeline,Completed,2024-03-05T00:00:00.000Z,2024-03-19T00:00:00.000Z
GOL-373089,STU-001429,Creative,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-03-01,2025-04-06,null,Low,96,5,3,null,STF-0016,null,Academic demands,Tutoring,2025-03-01,2025-03-31,Needs attention,On Hold,2024-03-25T00:00:00.000Z,2024-04-08T00:00:00.000Z
GOL-373105,STU-000884,Academic,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-03-17,2025-05-05,null,High,11,7,1,MNT-0079,STF-0039,PRG-007,None,Tutoring,2025-03-17,2025-04-16,Additional support provided,Active,2024-04-10T00:00:00.000Z,2024-04-24T00:00:00.000Z
GOL-373158,STU-001527,Personal Growth,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-05-09,2025-07-28,2025-08-19,Medium,64,4,0,MNT-0008,STF-0043,PRG-004,Resource access,Counseling,2025-05-09,2025-06-08,Ahead of schedule,Completed,2024-06-02T00:00:00.000Z,2024-06-16T00:00:00.000Z
GOL-373163,STU-000469,Personal Growth,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-05-14,2025-08-17,2025-09-11,Medium,69,2,5,MNT-0094,STF-0024,PRG-005,Transportation,Equipment access,2025-05-14,2025-06-13,,Completed,2024-06-07T00:00:00.000Z,2024-06-21T00:00:00.000Z
GOL-373165,STU-001532,Financial,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-05-16,2025-08-21,null,Medium,71,4,7,MNT-0186,STF-0005,PRG-007,Transportation,Financial assistance,2025-05-16,2025-06-15,Ahead of schedule,Completed,2024-06-09T00:00:00.000Z,2024-06-23T00:00:00.000Z
GOL-373209,STU-001004,Academic,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-06-29,2025-09-27,2026-01-13,High,14,6,6,MNT-0180,STF-0012,PRG-012,None,Tutoring,2025-06-29,2025-07-29,Revised timeline,Active,2024-07-23T00:00:00.000Z,2024-08-06T00:00:00.000Z
GOL-373300,STU-001631,Academic,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-09-28,2025-11-30,null,High,4,6,7,null,STF-0023,PRG-004,None,Transportation,2025-09-28,2025-10-28,Revised timeline,Active,2024-10-22T00:00:00.000Z,2024-11-05T00:00:00.000Z
GOL-373316,STU-000912,Career,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-10-14,2026-03-05,2026-02-28,High,20,8,5,MNT-0181,STF-0043,PRG-012,None,Transportation,2025-10-14,2025-11-13,Excellent progress,Active,2024-11-07T00:00:00.000Z,2024-11-21T00:00:00.000Z
GOL-373331,STU-000640,Career,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-10-29,2025-12-04,2026-02-15,Medium,35,2,2,MNT-0167,STF-0033,PRG-008,None,Equipment access,2025-10-29,2025-11-28,,Active,2024-11-22T00:00:00.000Z,2024-12-06T00:00:00.000Z
GOL-373354,STU-000567,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-11-21,2026-02-18,null,Medium,58,4,7,MNT-0044,STF-0046,null,Resource access,Mentoring,2025-11-21,2025-12-21,Ahead of schedule,Completed,2024-12-15T00:00:00.000Z,2024-12-29T00:00:00.000Z
GOL-373442,STU-000983,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-02-17,2025-04-23,2025-06-19,Medium,45,8,5,MNT-0061,STF-0015,PRG-002,Time constraints,Mentoring,2025-02-17,2025-03-19,Excellent progress,Active,2025-03-13T00:00:00.000Z,2025-03-27T00:00:00.000Z
GOL-373465,STU-001937,Financial,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-03-12,2025-07-24,null,Medium,68,3,1,MNT-0131,STF-0029,PRG-003,Transportation,Tutoring,2025-03-12,2025-04-11,On track,Completed,2025-04-05T00:00:00.000Z,2025-04-19T00:00:00.000Z
