student_cert_id,student_id,certification_id,attempt_date,attempt_number,exam_score,passed,issue_date,expiration_date,certificate_number,verified_by_staff_id,digital_badge_issued,badge_url,linked_to_portfolio,employer_verified,renewal_reminder_sent,status,notes,created_at,updated_at
SCR-99574,STU-000362,CRT-015,2025-01-27,1,72.00,true,2025-02-01,2026-08-20,CERT-1095746,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1095746,true,false,false,Active,First attempt success,2024-03-16T00:00:00.000Z,2024-03-23T00:00:00.000Z
SCR-99578,STU-000596,CRT-008,2025-03-09,2,62.00,false,2025-03-22,2026-05-04,CERT-1095787,STF-0011,false,https://badges.betteryouth.org/verify/CERT-1095787,false,false,false,Pending Renewal,Improved from previous attempt,2024-04-26T00:00:00.000Z,2024-05-03T00:00:00.000Z
SCR-99579,STU-000258,CRT-001,2025-03-14,2,67.00,false,2025-03-26,null,CERT-1095792,STF-0024,false,https://badges.betteryouth.org/verify/CERT-1095792,false,false,false,Pending Renewal,Improved from previous attempt,2024-05-01T00:00:00.000Z,2024-05-08T00:00:00.000Z
SCR-99588,STU-001969,CRT-004,2025-06-10,2,53.00,false,2025-06-18,2028-02-27,CERT-1095880,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1095880,false,false,false,Expired,,2024-07-28T00:00:00.000Z,2024-08-04T00:00:00.000Z
SCR-99614,STU-000362,CRT-008,2025-02-28,1,61.00,true,2025-03-02,null,CERT-1096143,STF-0038,true,https://badges.betteryouth.org/verify/CERT-1096143,true,false,false,Active,Recommended for advanced certification,2025-04-17T00:00:00.000Z,2025-04-24T00:00:00.000Z
SCR-99622,STU-001229,CRT-005,2025-05-16,1,87.00,true,2025-05-20,2027-12-04,CERT-1096220,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1096220,true,false,true,Active,,2025-07-03T00:00:00.000Z,2025-07-10T00:00:00.000Z
SCR-99624,STU-000405,CRT-012,2025-06-06,1,57.00,true,2025-06-15,2026-06-29,CERT-1096241,STF-0032,true,https://badges.betteryouth.org/verify/CERT-1096241,true,false,false,Active,First attempt success,2025-07-24T00:00:00.000Z,2025-07-31T00:00:00.000Z
SCR-99626,STU-001359,CRT-005,2025-07-01,1,82.00,true,2025-07-08,2028-02-19,CERT-1096266,STF-0009,true,https://badges.betteryouth.org/verify/CERT-1096266,true,false,false,Active,First attempt success,2025-08-18T00:00:00.000Z,2025-08-25T00:00:00.000Z
SCR-99629,STU-001198,CRT-013,2025-07-30,3,60.00,false,2025-08-11,2028-01-16,CERT-1096295,STF-0028,false,https://badges.betteryouth.org/verify/CERT-1096295,false,false,false,Pending Renewal,,2025-09-16T00:00:00.000Z,2025-09-23T00:00:00.000Z
SCR-99634,STU-000438,CRT-005,2025-09-20,1,61.00,true,2025-10-03,2028-01-19,CERT-1096347,STF-0027,true,https://badges.betteryouth.org/verify/CERT-1096347,true,false,false,Active,Improved from previous attempt,2025-11-07T00:00:00.000Z,2025-11-14T00:00:00.000Z
SCR-99641,STU-000438,CRT-011,2025-11-28,1,79.00,true,2025-11-29,2027-07-27,CERT-1096416,STF-0018,true,https://badges.betteryouth.org/verify/CERT-1096416,true,true,true,Active,First attempt success,2022-01-15T00:00:00.000Z,2022-01-22T00:00:00.000Z
SCR-99647,STU-001359,CRT-007,2025-01-28,2,89.00,true,2025-02-09,2027-10-26,CERT-1096477,STF-0040,true,https://badges.betteryouth.org/verify/CERT-1096477,false,false,false,Expired,Improved from previous attempt,2022-03-17T00:00:00.000Z,2022-03-24T00:00:00.000Z
SCR-99647,STU-001359,CRT-001,2025-01-30,2,91.00,true,2025-02-06,2027-11-24,CERT-1096479,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1096479,false,false,false,Expired,Excellent performance,2022-03-19T00:00:00.000Z,2022-03-26T00:00:00.000Z
SCR-99650,STU-001673,CRT-003,2025-02-20,1,61.00,true,2025-02-25,2027-03-14,CERT-1096500,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1096500,true,true,true,Active,,2022-04-09T00:00:00.000Z,2022-04-16T00:00:00.000Z
SCR-99655,STU-001198,CRT-010,2025-04-11,1,60.00,true,2025-04-16,2028-02-03,CERT-1096550,STF-0017,true,https://badges.betteryouth.org/verify/CERT-1096550,true,false,false,Active,,2022-05-29T00:00:00.000Z,2022-06-05T00:00:00.000Z
SCR-99656,STU-001263,CRT-004,2025-04-25,1,74.00,true,2025-05-08,2027-06-17,CERT-1096564,STF-0020,true,https://badges.betteryouth.org/verify/CERT-1096564,true,false,false,Active,Excellent performance,2022-06-12T00:00:00.000Z,2022-06-19T00:00:00.000Z
SCR-99660,STU-001113,CRT-004,2025-06-02,1,61.00,true,2025-06-07,2028-04-30,CERT-1096602,STF-0010,true,https://badges.betteryouth.org/verify/CERT-1096602,true,true,true,Active,Improved from previous attempt,2022-07-20T00:00:00.000Z,2022-07-27T00:00:00.000Z
SCR-99662,STU-000221,CRT-005,2025-06-27,1,86.00,true,2025-06-28,2028-06-09,CERT-1096627,STF-0025,true,https://badges.betteryouth.org/verify/CERT-1096627,true,false,true,Active,Improved from previous attempt,2022-08-14T00:00:00.000Z,2022-08-21T00:00:00.000Z
SCR-99675,STU-001930,CRT-011,2025-10-30,1,58.00,true,2025-11-03,null,CERT-1096752,STF-0022,true,https://badges.betteryouth.org/verify/CERT-1096752,true,false,false,Active,Improved from previous attempt,2022-12-17T00:00:00.000Z,2022-12-24T00:00:00.000Z
SCR-99681,STU-001107,CRT-015,2025-01-05,1,74.00,true,2025-01-19,2026-08-17,CERT-1096819,STF-0035,true,https://badges.betteryouth.org/verify/CERT-1096819,true,true,true,Active,Excellent performance,2023-02-22T00:00:00.000Z,2023-03-01T00:00:00.000Z
SCR-99691,STU-000866,CRT-006,2025-04-06,1,63.00,true,2025-04-12,null,CERT-1096910,STF-0030,true,https://badges.betteryouth.org/verify/CERT-1096910,true,true,true,Active,,2023-05-24T00:00:00.000Z,2023-05-31T00:00:00.000Z
SCR-99691,STU-000438,CRT-019,2025-04-13,1,70.00,true,2025-04-27,null,CERT-1096917,STF-0038,true,https://badges.betteryouth.org/verify/CERT-1096917,true,true,true,Active,Improved from previous attempt,2023-05-31T00:00:00.000Z,2023-06-07T00:00:00.000Z
SCR-99696,STU-001166,CRT-005,2025-05-29,1,65.00,true,2025-06-02,2026-08-09,CERT-1096963,STF-0020,true,https://badges.betteryouth.org/verify/CERT-1096963,true,false,false,Active,Recommended for advanced certification,2023-07-16T00:00:00.000Z,2023-07-23T00:00:00.000Z
SCR-99696,STU-000988,CRT-015,2025-05-31,1,67.00,true,2025-06-01,2027-07-22,CERT-1096965,STF-0016,true,https://badges.betteryouth.org/verify/CERT-1096965,true,false,false,Active,,2023-07-18T00:00:00.000Z,2023-07-25T00:00:00.000Z
SCR-99703,STU-000165,CRT-003,2025-08-08,1,85.00,true,2025-08-12,null,CERT-1097034,STF-0027,true,https://badges.betteryouth.org/verify/CERT-1097034,true,false,false,Active,Excellent performance,2023-09-25T00:00:00.000Z,2023-10-02T00:00:00.000Z
SCR-99704,STU-001217,CRT-015,2025-08-14,1,91.00,true,2025-08-18,null,CERT-1097040,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1097040,true,false,false,Active,,2023-10-01T00:00:00.000Z,2023-10-08T00:00:00.000Z
SCR-99708,STU-001107,CRT-006,2025-09-30,2,87.00,false,2025-10-08,null,CERT-1097087,STF-0039,false,https://badges.betteryouth.org/verify/CERT-1097087,false,false,false,Pending Renewal,Improved from previous attempt,2023-11-17T00:00:00.000Z,2023-11-24T00:00:00.000Z
SCR-99715,STU-001217,CRT-002,2025-12-11,1,57.00,true,2025-12-19,null,CERT-1097159,STF-0044,true,https://badges.betteryouth.org/verify/CERT-1097159,true,false,false,Active,Excellent performance,2024-01-28T00:00:00.000Z,2024-02-04T00:00:00.000Z
SCR-99718,STU-001360,CRT-004,2025-01-08,2,85.00,false,2025-01-22,2026-03-08,CERT-1097187,STF-0043,false,https://badges.betteryouth.org/verify/CERT-1097187,false,false,false,Pending Renewal,Improved from previous attempt,2024-02-25T00:00:00.000Z,2024-03-03T00:00:00.000Z
SCR-99721,STU-000654,CRT-004,2025-02-02,1,59.00,true,2025-02-13,2026-09-26,CERT-1097212,STF-0043,true,https://badges.betteryouth.org/verify/CERT-1097212,true,true,true,Active,Improved from previous attempt,2024-03-21T00:00:00.000Z,2024-03-28T00:00:00.000Z
SCR-99722,STU-001263,CRT-020,2025-02-13,1,70.00,true,2025-02-21,2027-03-22,CERT-1097223,STF-0034,true,https://badges.betteryouth.org/verify/CERT-1097223,true,false,true,Active,Recommended for advanced certification,2024-04-01T00:00:00.000Z,2024-04-08T00:00:00.000Z
SCR-99727,STU-000515,CRT-017,2025-04-02,1,67.00,true,2025-04-08,2027-06-02,CERT-1097271,STF-0029,true,https://badges.betteryouth.org/verify/CERT-1097271,false,false,false,Expired,First attempt success,2024-05-19T00:00:00.000Z,2024-05-26T00:00:00.000Z
SCR-99732,STU-000866,CRT-017,2025-05-23,1,67.00,true,2025-05-29,2027-05-27,CERT-1097322,STF-0026,true,https://badges.betteryouth.org/verify/CERT-1097322,true,false,true,Active,Improved from previous attempt,2024-07-09T00:00:00.000Z,2024-07-16T00:00:00.000Z
SCR-99733,STU-000654,CRT-008,2025-06-07,1,82.00,true,2025-06-19,2027-04-02,CERT-1097337,STF-0027,true,https://badges.betteryouth.org/verify/CERT-1097337,true,false,false,Active,Improved from previous attempt,2024-07-24T00:00:00.000Z,2024-07-31T00:00:00.000Z
SCR-99742,STU-000258,CRT-004,2025-09-06,1,71.00,true,2025-09-19,2026-10-21,CERT-1097428,STF-0049,true,https://badges.betteryouth.org/verify/CERT-1097428,true,false,true,Active,Recommended for advanced certification,2024-10-23T00:00:00.000Z,2024-10-30T00:00:00.000Z
SCR-99743,STU-001673,CRT-016,2025-09-16,1,81.00,true,2025-09-22,2027-08-04,CERT-1097438,STF-0026,true,https://badges.betteryouth.org/verify/CERT-1097438,true,false,false,Active,Recommended for advanced certification,2024-11-02T00:00:00.000Z,2024-11-09T00:00:00.000Z
SCR-99748,STU-001618,CRT-009,2025-11-06,2,81.00,false,2025-11-14,null,CERT-1097489,STF-0029,false,https://badges.betteryouth.org/verify/CERT-1097489,false,false,false,Pending Renewal,Excellent performance,2024-12-23T00:00:00.000Z,2024-12-30T00:00:00.000Z
SCR-99750,STU-000694,CRT-016,2025-11-25,1,100.00,true,2025-12-07,2027-07-30,CERT-1097508,STF-0011,true,https://badges.betteryouth.org/verify/CERT-1097508,true,true,true,Active,Recommended for advanced certification,2025-01-11T00:00:00.000Z,2025-01-18T00:00:00.000Z
SCR-99754,STU-001212,CRT-010,2025-12-28,1,82.00,true,2025-12-31,2028-12-20,CERT-1097541,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1097541,true,false,false,Active,First attempt success,2025-02-13T00:00:00.000Z,2025-02-20T00:00:00.000Z
SCR-99755,STU-001063,CRT-020,2025-01-07,1,92.00,true,2025-01-12,2026-04-20,CERT-1097551,STF-0011,true,https://badges.betteryouth.org/verify/CERT-1097551,true,false,false,Active,First attempt success,2025-02-23T00:00:00.000Z,2025-03-02T00:00:00.000Z
SCR-99755,STU-001618,CRT-001,2025-01-08,1,93.00,true,2025-01-16,2027-03-08,CERT-1097552,STF-0026,true,https://badges.betteryouth.org/verify/CERT-1097552,true,false,false,Active,Improved from previous attempt,2025-02-24T00:00:00.000Z,2025-03-03T00:00:00.000Z
SCR-99763,STU-000258,CRT-005,2025-03-29,1,71.00,true,2025-04-03,null,CERT-1097632,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1097632,true,false,false,Active,Improved from previous attempt,2025-05-15T00:00:00.000Z,2025-05-22T00:00:00.000Z
SCR-99767,STU-001359,CRT-007,2025-05-06,1,58.00,true,2025-05-17,2027-08-03,CERT-1097670,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1097670,false,false,false,Expired,,2025-06-22T00:00:00.000Z,2025-06-29T00:00:00.000Z
SCR-99769,STU-000627,CRT-012,2025-06-02,3,85.00,false,2025-06-03,2026-08-09,CERT-1097697,STF-0019,false,https://badges.betteryouth.org/verify/CERT-1097697,false,false,false,Pending Renewal,Improved from previous attempt,2025-07-19T00:00:00.000Z,2025-07-26T00:00:00.000Z
SCR-99770,STU-001212,CRT-004,2025-06-13,1,96.00,true,2025-06-21,2026-10-12,CERT-1097708,STF-0007,true,https://badges.betteryouth.org/verify/CERT-1097708,true,true,true,Active,Recommended for advanced certification,2025-07-30T00:00:00.000Z,2025-08-06T00:00:00.000Z
SCR-99772,STU-001263,CRT-003,2025-06-28,1,60.00,true,2025-07-05,2027-08-07,CERT-1097723,STF-0010,true,https://badges.betteryouth.org/verify/CERT-1097723,true,false,true,Active,Recommended for advanced certification,2025-08-14T00:00:00.000Z,2025-08-21T00:00:00.000Z
SCR-99772,STU-000069,CRT-015,2025-07-04,1,66.00,true,2025-07-17,null,CERT-1097729,STF-0035,true,https://badges.betteryouth.org/verify/CERT-1097729,true,false,true,Active,Excellent performance,2025-08-20T00:00:00.000Z,2025-08-27T00:00:00.000Z
SCR-99789,STU-000165,CRT-019,2025-12-15,2,77.00,false,2025-12-18,null,CERT-1097893,STF-0025,false,https://badges.betteryouth.org/verify/CERT-1097893,false,false,false,Pending Renewal,Recommended for advanced certification,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z
SCR-99790,STU-000405,CRT-016,2025-12-22,1,84.00,true,2025-12-31,2028-12-21,CERT-1097900,STF-0047,true,https://badges.betteryouth.org/verify/CERT-1097900,true,true,true,Active,,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z
SCR-99794,STU-000694,CRT-005,2025-02-04,1,77.00,true,2025-02-10,2027-11-20,CERT-1097944,STF-0004,true,https://badges.betteryouth.org/verify/CERT-1097944,true,false,false,Active,Excellent performance,2022-03-23T00:00:00.000Z,2022-03-30T00:00:00.000Z
SCR-99796,STU-001263,CRT-020,2025-02-26,1,99.00,true,2025-03-08,2026-05-22,CERT-1097966,STF-0016,true,https://badges.betteryouth.org/verify/CERT-1097966,true,false,false,Active,First attempt success,2022-04-14T00:00:00.000Z,2022-04-21T00:00:00.000Z
SCR-99803,STU-000165,CRT-014,2025-05-02,1,62.00,true,2025-05-09,2026-10-04,CERT-1098031,STF-0044,true,https://badges.betteryouth.org/verify/CERT-1098031,true,false,false,Active,First attempt success,2022-06-18T00:00:00.000Z,2022-06-25T00:00:00.000Z
SCR-99803,STU-001254,CRT-016,2025-05-04,1,64.00,true,2025-05-07,2027-06-23,CERT-1098033,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1098033,true,false,false,Active,Recommended for advanced certification,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z
SCR-99824,STU-000069,CRT-004,2025-11-30,1,70.00,true,2025-12-08,null,CERT-1098243,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1098243,true,false,false,Active,Recommended for advanced certification,2023-01-16T00:00:00.000Z,2023-01-23T00:00:00.000Z
SCR-99826,STU-001063,CRT-007,2025-12-25,1,95.00,true,2025-12-28,null,CERT-1098268,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1098268,true,false,false,Active,Recommended for advanced certification,2023-02-10T00:00:00.000Z,2023-02-17T00:00:00.000Z
SCR-99828,STU-001885,CRT-012,2025-01-14,2,64.00,false,2025-01-16,null,CERT-1098288,STF-0037,false,https://badges.betteryouth.org/verify/CERT-1098288,false,false,false,Pending Renewal,Recommended for advanced certification,2023-03-02T00:00:00.000Z,2023-03-09T00:00:00.000Z
SCR-99829,STU-001254,CRT-011,2025-01-24,3,74.00,false,2025-02-07,2026-05-30,CERT-1098298,STF-0030,false,https://badges.betteryouth.org/verify/CERT-1098298,false,false,false,Pending Renewal,Recommended for advanced certification,2023-03-12T00:00:00.000Z,2023-03-19T00:00:00.000Z
SCR-99835,STU-000405,CRT-001,2025-03-22,1,80.00,true,2025-03-28,2027-04-03,CERT-1098355,STF-0047,true,https://badges.betteryouth.org/verify/CERT-1098355,true,false,false,Active,,2023-05-08T00:00:00.000Z,2023-05-15T00:00:00.000Z
SCR-99837,STU-001586,CRT-016,2025-04-15,2,53.00,true,2025-04-17,null,CERT-1098379,STF-0049,true,https://badges.betteryouth.org/verify/CERT-1098379,false,false,false,Expired,Excellent performance,2023-06-01T00:00:00.000Z,2023-06-08T00:00:00.000Z
SCR-99839,STU-000915,CRT-016,2025-05-05,3,73.00,false,2025-05-19,2027-09-20,CERT-1098399,STF-0031,false,https://badges.betteryouth.org/verify/CERT-1098399,false,false,false,Pending Renewal,Excellent performance,2023-06-21T00:00:00.000Z,2023-06-28T00:00:00.000Z
SCR-99840,STU-000866,CRT-019,2025-05-07,1,75.00,true,2025-05-17,null,CERT-1098401,STF-0048,true,https://badges.betteryouth.org/verify/CERT-1098401,true,true,true,Active,First attempt success,2023-06-23T00:00:00.000Z,2023-06-30T00:00:00.000Z
SCR-99842,STU-000501,CRT-016,2025-06-01,1,100.00,true,2025-06-08,2027-12-03,CERT-1098426,STF-0007,true,https://badges.betteryouth.org/verify/CERT-1098426,true,false,true,Active,First attempt success,2023-07-18T00:00:00.000Z,2023-07-25T00:00:00.000Z
SCR-99843,STU-000866,CRT-003,2025-06-10,1,58.00,true,2025-06-14,2026-10-04,CERT-1098435,STF-0016,true,https://badges.betteryouth.org/verify/CERT-1098435,true,false,false,Active,,2023-07-27T00:00:00.000Z,2023-08-03T00:00:00.000Z
SCR-99848,STU-001254,CRT-004,2025-07-28,2,55.00,false,2025-08-03,2027-07-03,CERT-1098483,STF-0017,true,https://badges.betteryouth.org/verify/CERT-1098483,false,false,false,Expired,Recommended for advanced certification,2023-09-13T00:00:00.000Z,2023-09-20T00:00:00.000Z
SCR-99852,STU-001212,CRT-014,2025-09-12,1,50.00,true,2025-09-22,2027-02-28,CERT-1098529,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1098529,true,false,true,Active,Excellent performance,2023-10-29T00:00:00.000Z,2023-11-05T00:00:00.000Z
SCR-99863,STU-000703,CRT-008,2025-12-30,1,57.00,true,2026-01-09,2027-11-07,CERT-1098638,STF-0017,true,https://badges.betteryouth.org/verify/CERT-1098638,true,false,false,Active,Recommended for advanced certification,2024-02-15T00:00:00.000Z,2024-02-22T00:00:00.000Z
SCR-99863,STU-001107,CRT-020,2025-12-31,1,58.00,true,2026-01-01,2027-06-06,CERT-1098639,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1098639,true,false,false,Active,Excellent performance,2024-02-16T00:00:00.000Z,2024-02-23T00:00:00.000Z
SCR-99865,STU-000627,CRT-009,2025-01-17,1,75.00,true,2025-01-31,null,CERT-1098656,STF-0038,true,https://badges.betteryouth.org/verify/CERT-1098656,true,false,false,Active,First attempt success,2024-03-04T00:00:00.000Z,2024-03-11T00:00:00.000Z
SCR-99871,STU-001212,CRT-020,2025-03-17,1,83.00,true,2025-03-29,2026-09-17,CERT-1098715,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1098715,true,true,true,Active,,2024-05-02T00:00:00.000Z,2024-05-09T00:00:00.000Z
SCR-99873,STU-001198,CRT-015,2025-04-08,1,54.00,true,2025-04-16,null,CERT-1098737,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1098737,true,false,false,Active,Improved from previous attempt,2024-05-24T00:00:00.000Z,2024-05-31T00:00:00.000Z
SCR-99875,STU-000627,CRT-007,2025-04-21,1,67.00,true,2025-04-23,null,CERT-1098750,STF-0034,true,https://badges.betteryouth.org/verify/CERT-1098750,true,false,false,Active,,2024-06-06T00:00:00.000Z,2024-06-13T00:00:00.000Z
SCR-99893,STU-001969,CRT-005,2025-10-24,1,100.00,true,2025-10-25,null,CERT-1098936,STF-0027,true,https://badges.betteryouth.org/verify/CERT-1098936,true,false,false,Active,First attempt success,2024-12-09T00:00:00.000Z,2024-12-16T00:00:00.000Z
SCR-99895,STU-000405,CRT-003,2025-11-10,1,66.00,true,2025-11-18,2027-06-10,CERT-1098953,STF-0043,true,https://badges.betteryouth.org/verify/CERT-1098953,true,false,false,Active,Recommended for advanced certification,2024-12-26T00:00:00.000Z,2025-01-02T00:00:00.000Z
SCR-99899,STU-000627,CRT-003,2025-12-20,2,55.00,false,2025-12-27,2028-06-10,CERT-1098993,STF-0047,false,https://badges.betteryouth.org/verify/CERT-1098993,false,false,false,Pending Renewal,Recommended for advanced certification,2025-02-04T00:00:00.000Z,2025-02-11T00:00:00.000Z
SCR-99901,STU-001263,CRT-002,2025-01-10,1,76.00,true,2025-01-12,2026-01-25,CERT-1099014,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1099014,true,true,true,Active,Excellent performance,2025-02-25T00:00:00.000Z,2025-03-04T00:00:00.000Z
SCR-99922,STU-000069,CRT-012,2025-08-09,1,83.00,true,2025-08-10,2028-07-28,CERT-1099225,STF-0042,true,https://badges.betteryouth.org/verify/CERT-1099225,true,false,true,Active,,2025-09-24T00:00:00.000Z,2025-10-01T00:00:00.000Z
SCR-99924,STU-000703,CRT-019,2025-08-26,1,100.00,true,2025-09-01,2026-10-25,CERT-1099242,STF-0023,true,https://badges.betteryouth.org/verify/CERT-1099242,true,false,false,Active,Improved from previous attempt,2025-10-11T00:00:00.000Z,2025-10-18T00:00:00.000Z
SCR-99928,STU-001212,CRT-015,2025-10-04,2,88.00,false,2025-10-15,2028-07-05,CERT-1099281,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1099281,false,false,false,Expired,First attempt success,2025-11-19T00:00:00.000Z,2025-11-26T00:00:00.000Z
SCR-99928,STU-001198,CRT-015,2025-10-07,2,91.00,false,2025-10-16,2027-04-30,CERT-1099284,STF-0045,true,https://badges.betteryouth.org/verify/CERT-1099284,false,false,false,Expired,Excellent performance,2025-11-22T00:00:00.000Z,2025-11-29T00:00:00.000Z
SCR-99939,STU-001133,CRT-009,2025-01-29,3,52.00,false,2025-01-30,2026-11-11,CERT-1099398,STF-0029,false,https://badges.betteryouth.org/verify/CERT-1099398,false,false,false,Pending Renewal,Recommended for advanced certification,2022-03-16T00:00:00.000Z,2022-03-23T00:00:00.000Z
SCR-99942,STU-000915,CRT-005,2025-02-21,1,75.00,true,2025-03-02,null,CERT-1099421,STF-0041,true,https://badges.betteryouth.org/verify/CERT-1099421,true,false,true,Active,First attempt success,2022-04-08T00:00:00.000Z,2022-04-15T00:00:00.000Z
SCR-99943,STU-001254,CRT-001,2025-03-03,1,85.00,true,2025-03-15,2028-01-07,CERT-1099431,STF-0040,true,https://badges.betteryouth.org/verify/CERT-1099431,true,false,false,Active,First attempt success,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z
SCR-99947,STU-001776,CRT-020,2025-04-11,1,73.00,true,2025-04-16,2027-12-09,CERT-1099470,STF-0023,true,https://badges.betteryouth.org/verify/CERT-1099470,false,false,false,Expired,,2022-05-27T00:00:00.000Z,2022-06-03T00:00:00.000Z
SCR-99949,STU-000915,CRT-014,2025-05-02,2,94.00,false,2025-05-05,2026-06-20,CERT-1099491,STF-0003,false,https://badges.betteryouth.org/verify/CERT-1099491,false,false,false,Pending Renewal,First attempt success,2022-06-17T00:00:00.000Z,2022-06-24T00:00:00.000Z
SCR-99953,STU-001969,CRT-015,2025-06-14,1,86.00,true,2025-06-26,null,CERT-1099534,STF-0029,true,https://badges.betteryouth.org/verify/CERT-1099534,true,false,false,Active,Excellent performance,2022-07-30T00:00:00.000Z,2022-08-06T00:00:00.000Z
SCR-99956,STU-001107,CRT-001,2025-07-15,1,66.00,true,2025-07-21,2028-04-24,CERT-1099565,STF-0037,true,https://badges.betteryouth.org/verify/CERT-1099565,true,false,false,Active,,2022-08-30T00:00:00.000Z,2022-09-06T00:00:00.000Z
SCR-99956,STU-000988,CRT-016,2025-07-17,1,68.00,true,2025-07-23,2026-11-11,CERT-1099567,STF-0030,true,https://badges.betteryouth.org/verify/CERT-1099567,true,false,false,Active,Improved from previous attempt,2022-09-01T00:00:00.000Z,2022-09-08T00:00:00.000Z
