outcome_id,student_id,metric_id,measurement_date,measurement_period,value,previous_value,target_value,target_met,improvement_from_baseline,percentile_rank,assessed_by_staff_id,assessment_method,confidence_level,supporting_evidence,context_notes,program_id,cohort_id,follow_up_required,intervention_recommended,data_quality_flag,created_at,updated_at
OUT-780970,STU-000561,MTR-001,2025-08-24,Q3 2025,38.00,null,57.00,false,21.00,71,STF-0036,System Calculated,Medium,Test Scores,First measurement,PRG-012,COH-2024,false,Mentorship,Valid,2024-09-10T00:00:00.000Z,2024-09-17T00:00:00.000Z
OUT-781130,STU-001257,MTR-011,2025-01-31,Q3 2023,97.00,97.00,64.00,true,39.00,31,STF-0016,Peer Review,High,Portfolio Review,,PRG-010,COH-2025,false,None,Valid,2025-02-17T00:00:00.000Z,2025-02-24T00:00:00.000Z
OUT-781190,STU-001855,MTR-024,2025-04-01,Q3 2023,56.00,null,73.00,false,28.00,91,STF-0042,Peer Review,Low,Certification,Exceeded expectations,PRG-011,COH-2025,false,Resource Provision,Incomplete,2025-04-18T00:00:00.000Z,2025-04-25T00:00:00.000Z
OUT-781203,STU-001200,MTR-011,2025-04-14,Q4 2023,69.00,null,86.00,true,41.00,4,STF-0019,External Assessment,High,Project Completion,Needs additional support,PRG-004,COH-2023,true,None,Valid,2025-05-01T00:00:00.000Z,2025-05-08T00:00:00.000Z
OUT-781212,STU-001974,MTR-003,2025-04-23,Q1 2023,78.00,78.00,95.00,true,50.00,13,STF-0043,Self-Assessment,High,Survey Response,External factors affected score,PRG-011,COH-2023,true,None,Valid,2025-05-10T00:00:00.000Z,2025-05-17T00:00:00.000Z
OUT-781253,STU-001943,MTR-027,2025-06-03,Q2 2024,18.00,null,85.00,true,20.00,54,STF-0043,Observation,Medium,Certification,Exceeded expectations,PRG-011,COH-2025,false,None,Valid,2025-06-20T00:00:00.000Z,2025-06-27T00:00:00.000Z
OUT-781287,STU-001371,MTR-026,2025-07-07,Q4 2023,52.00,52.00,68.00,false,-17.00,88,STF-0039,External Assessment,Medium,Project Completion,Needs additional support,PRG-010,COH-2023,false,Counseling,Estimated,2025-07-24T00:00:00.000Z,2025-07-31T00:00:00.000Z
OUT-781323,STU-001676,MTR-003,2025-08-12,Q4 2023,88.00,88.00,53.00,true,19.00,24,STF-0043,External Assessment,High,Certification,Exceeded expectations,PRG-003,COH-2023,true,None,Valid,2025-08-29T00:00:00.000Z,2025-09-05T00:00:00.000Z
OUT-781388,STU-000219,MTR-015,2025-10-16,Q1 2025,52.00,52.00,67.00,false,13.00,89,STF-0038,Peer Review,Medium,Observation Notes,On track,PRG-007,COH-2025,false,Resource Provision,Estimated,2025-11-02T00:00:00.000Z,2025-11-09T00:00:00.000Z
OUT-781394,STU-001916,MTR-006,2025-10-22,Q3 2023,58.00,58.00,73.00,false,19.00,95,STF-0026,Peer Review,Low,Survey Response,External factors affected score,PRG-013,COH-2025,false,Resource Provision,Incomplete,2025-11-08T00:00:00.000Z,2025-11-15T00:00:00.000Z
OUT-781423,STU-000047,MTR-028,2025-11-20,Q4 2024,87.00,87.00,51.00,true,48.00,24,STF-0048,Staff Evaluation,High,Observation Notes,On track,PRG-010,COH-2024,true,None,Valid,2025-12-07T00:00:00.000Z,2025-12-14T00:00:00.000Z
OUT-781500,STU-000608,MTR-011,2025-02-05,Q1 2023,63.00,63.00,77.00,true,-17.00,1,STF-0009,Self-Assessment,High,Observation Notes,On track,PRG-006,COH-2023,true,None,Valid,2023-02-22T00:00:00.000Z,2023-03-01T00:00:00.000Z
OUT-781532,STU-000219,MTR-030,2025-03-09,Q1 2025,95.00,95.00,58.00,true,15.00,33,STF-0014,Peer Review,High,Project Completion,Needs additional support,PRG-004,COH-2025,false,None,Valid,2023-03-26T00:00:00.000Z,2023-04-02T00:00:00.000Z
OUT-781542,STU-000608,MTR-004,2025-03-19,Q3 2024,4.00,null,68.00,true,25.00,43,STF-0047,Self-Assessment,High,Observation Notes,On track,PRG-005,COH-2023,false,None,Valid,2023-04-05T00:00:00.000Z,2023-04-12T00:00:00.000Z
OUT-781579,STU-001083,MTR-017,2025-04-25,Q4 2024,41.00,null,54.00,false,-9.00,80,STF-0031,Staff Evaluation,Medium,Test Scores,First measurement,PRG-006,COH-2024,false,Mentorship,Valid,2023-05-12T00:00:00.000Z,2023-05-19T00:00:00.000Z
OUT-781641,STU-000159,MTR-018,2025-06-26,Q2 2025,2.00,2.00,65.00,true,-18.00,42,STF-0001,External Assessment,High,Portfolio Review,,PRG-011,COH-2023,false,None,Valid,2023-07-13T00:00:00.000Z,2023-07-20T00:00:00.000Z
OUT-781705,STU-001371,MTR-002,2025-08-29,Q2 2023,66.00,66.00,78.00,true,46.00,6,STF-0027,Staff Evaluation,High,Test Scores,First measurement,PRG-014,COH-2024,true,None,Valid,2023-09-15T00:00:00.000Z,2023-09-22T00:00:00.000Z
OUT-781715,STU-000959,MTR-024,2025-09-08,Q4 2025,76.00,76.00,88.00,true,-15.00,16,STF-0043,Observation,High,Certification,Exceeded expectations,PRG-015,COH-2025,true,None,Valid,2023-09-25T00:00:00.000Z,2023-10-02T00:00:00.000Z
OUT-781721,STU-000068,MTR-020,2025-09-14,Q2 2024,82.00,82.00,94.00,true,-9.00,22,STF-0012,Observation,High,Project Completion,Needs additional support,PRG-004,COH-2025,true,None,Valid,2023-10-01T00:00:00.000Z,2023-10-08T00:00:00.000Z
OUT-781739,STU-001974,MTR-030,2025-10-02,Q4 2025,100.00,null,61.00,true,9.00,40,STF-0019,Observation,High,Portfolio Review,,PRG-015,COH-2025,false,None,Valid,2023-10-19T00:00:00.000Z,2023-10-26T00:00:00.000Z
OUT-781821,STU-000322,MTR-012,2025-12-23,Q2 2025,81.00,81.00,92.00,true,20.00,22,STF-0040,External Assessment,High,Survey Response,External factors affected score,PRG-008,COH-2023,true,None,Valid,2024-01-09T00:00:00.000Z,2024-01-16T00:00:00.000Z
OUT-781885,STU-000753,MTR-015,2025-02-25,Q2 2023,44.00,44.00,54.00,false,13.00,86,STF-0008,Staff Evaluation,Medium,Observation Notes,On track,PRG-001,COH-2024,false,Counseling,Estimated,2024-03-13T00:00:00.000Z,2024-03-20T00:00:00.000Z
OUT-781908,STU-000959,MTR-027,2025-03-20,Q1 2023,67.00,67.00,77.00,true,36.00,9,STF-0028,Self-Assessment,High,Test Scores,First measurement,PRG-015,COH-2023,true,None,Valid,2024-04-05T00:00:00.000Z,2024-04-12T00:00:00.000Z
OUT-781922,STU-000948,MTR-009,2025-04-03,Q3 2023,81.00,null,91.00,true,50.00,23,STF-0044,Peer Review,High,Test Scores,First measurement,PRG-012,COH-2025,true,None,Valid,2024-04-19T00:00:00.000Z,2024-04-26T00:00:00.000Z
OUT-781942,STU-000608,MTR-028,2025-04-23,Q3 2025,0.00,0.00,60.00,true,-1.00,43,STF-0044,System Calculated,High,Portfolio Review,,PRG-008,COH-2024,false,None,Valid,2024-05-09T00:00:00.000Z,2024-05-16T00:00:00.000Z
OUT-781950,STU-001526,MTR-028,2025-05-01,Q3 2024,8.00,8.00,68.00,true,7.00,51,STF-0032,Self-Assessment,Medium,Test Scores,First measurement,PRG-002,COH-2023,false,None,Valid,2024-05-17T00:00:00.000Z,2024-05-24T00:00:00.000Z
OUT-781994,STU-001257,MTR-017,2025-06-14,Q3 2023,52.00,52.00,61.00,false,-20.00,95,STF-0040,Peer Review,Low,Project Completion,Needs additional support,PRG-002,COH-2025,false,Resource Provision,Incomplete,2024-06-30T00:00:00.000Z,2024-07-07T00:00:00.000Z
OUT-782078,STU-001855,MTR-021,2025-09-06,Q3 2023,35.00,35.00,94.00,false,-7.00,79,STF-0008,Peer Review,Medium,Project Completion,Needs additional support,PRG-014,COH-2025,false,Mentorship,Valid,2024-09-22T00:00:00.000Z,2024-09-29T00:00:00.000Z
OUT-782112,STU-001200,MTR-019,2025-10-10,Q1 2023,69.00,69.00,77.00,true,27.00,13,STF-0012,Self-Assessment,High,Attendance Records,Significant improvement,PRG-007,COH-2023,true,None,Valid,2024-10-26T00:00:00.000Z,2024-11-02T00:00:00.000Z
OUT-782179,STU-001083,MTR-006,2025-12-16,Q4 2024,35.00,null,93.00,false,23.00,80,STF-0021,Staff Evaluation,Medium,Observation Notes,On track,PRG-002,COH-2024,false,Mentorship,Valid,2025-01-01T00:00:00.000Z,2025-01-08T00:00:00.000Z
OUT-782181,STU-000322,MTR-001,2025-12-18,Q2 2025,37.00,37.00,95.00,false,25.00,82,STF-0009,External Assessment,Medium,Test Scores,First measurement,PRG-012,COH-2023,false,Counseling,Estimated,2025-01-03T00:00:00.000Z,2025-01-10T00:00:00.000Z
OUT-782267,STU-000454,MTR-010,2025-03-14,Q4 2025,22.00,null,79.00,true,40.00,68,STF-0041,Observation,Medium,Project Completion,Needs additional support,PRG-014,COH-2025,false,Additional Tutoring,Valid,2025-03-30T00:00:00.000Z,2025-04-06T00:00:00.000Z
OUT-782278,STU-000133,MTR-002,2025-03-25,Q3 2025,33.00,33.00,90.00,false,-20.00,79,STF-0024,System Calculated,Medium,Portfolio Review,,PRG-002,COH-2024,false,Mentorship,Valid,2025-04-10T00:00:00.000Z,2025-04-17T00:00:00.000Z
OUT-782280,STU-001524,MTR-029,2025-03-27,Q1 2023,35.00,35.00,92.00,false,-18.00,81,STF-0023,Self-Assessment,Medium,Attendance Records,Significant improvement,PRG-003,COH-2023,false,Counseling,Estimated,2025-04-12T00:00:00.000Z,2025-04-19T00:00:00.000Z
OUT-782348,STU-000322,MTR-020,2025-06-03,Q1 2025,2.00,2.00,58.00,true,50.00,49,STF-0034,Peer Review,High,Portfolio Review,,PRG-001,COH-2025,false,None,Valid,2025-06-19T00:00:00.000Z,2025-06-26T00:00:00.000Z
OUT-782399,STU-000881,MTR-027,2025-07-24,Q4 2025,53.00,53.00,58.00,false,30.00,100,STF-0048,Observation,Low,Attendance Records,Significant improvement,PRG-008,COH-2025,false,Program Change,Needs Review,2025-08-09T00:00:00.000Z,2025-08-16T00:00:00.000Z
OUT-782400,STU-000969,MTR-029,2025-07-25,Q1 2023,54.00,54.00,59.00,true,31.00,1,STF-0041,Self-Assessment,High,Project Completion,Needs additional support,PRG-002,COH-2023,true,None,Valid,2025-08-10T00:00:00.000Z,2025-08-17T00:00:00.000Z
OUT-782433,STU-000112,MTR-008,2025-08-27,Q2 2025,87.00,87.00,92.00,true,-7.00,34,STF-0048,External Assessment,High,Test Scores,First measurement,PRG-011,COH-2023,false,None,Valid,2025-09-12T00:00:00.000Z,2025-09-19T00:00:00.000Z
OUT-782467,STU-000322,MTR-022,2025-09-30,Q4 2024,20.00,20.00,75.00,true,27.00,68,STF-0034,Staff Evaluation,Medium,Portfolio Review,,PRG-006,COH-2024,false,Additional Tutoring,Valid,2025-10-16T00:00:00.000Z,2025-10-23T00:00:00.000Z
OUT-782472,STU-001518,MTR-023,2025-10-05,Q1 2023,25.00,null,80.00,false,32.00,73,STF-0004,Self-Assessment,Medium,Survey Response,External factors affected score,PRG-008,COH-2023,false,Mentorship,Valid,2025-10-21T00:00:00.000Z,2025-10-28T00:00:00.000Z
OUT-782513,STU-000842,MTR-022,2025-11-15,Q2 2024,66.00,66.00,70.00,true,2.00,14,STF-0001,Observation,High,Certification,Exceeded expectations,PRG-002,COH-2025,true,None,Valid,2025-12-01T00:00:00.000Z,2025-12-08T00:00:00.000Z
OUT-782785,STU-000753,MTR-007,2025-08-14,Q2 2023,35.00,35.00,87.00,false,-10.00,86,STF-0011,Staff Evaluation,Medium,Project Completion,Needs additional support,PRG-010,COH-2024,false,Counseling,Estimated,2023-08-30T00:00:00.000Z,2023-09-06T00:00:00.000Z
OUT-782793,STU-001229,MTR-024,2025-08-22,Q2 2025,43.00,43.00,95.00,false,-2.00,94,STF-0036,External Assessment,Low,Certification,Exceeded expectations,PRG-012,COH-2023,false,Resource Provision,Incomplete,2023-09-07T00:00:00.000Z,2023-09-14T00:00:00.000Z
OUT-782941,STU-000259,MTR-008,2025-01-17,Q2 2023,90.00,90.00,90.00,true,4.00,42,STF-0049,Staff Evaluation,High,Survey Response,External factors affected score,PRG-015,COH-2024,false,None,Valid,2024-02-02T00:00:00.000Z,2024-02-09T00:00:00.000Z
OUT-782992,STU-001974,MTR-003,2025-03-09,Q1 2024,40.00,null,90.00,false,-16.00,93,STF-0022,System Calculated,Low,Portfolio Review,,PRG-005,COH-2024,false,Resource Provision,Incomplete,2024-03-24T00:00:00.000Z,2024-03-31T00:00:00.000Z
OUT-783027,STU-000753,MTR-004,2025-04-13,Q4 2023,75.00,null,74.00,true,19.00,28,STF-0022,External Assessment,High,Portfolio Review,,PRG-001,COH-2023,false,None,Valid,2024-04-28T00:00:00.000Z,2024-05-05T00:00:00.000Z
OUT-783029,STU-000159,MTR-008,2025-04-15,Q2 2024,77.00,77.00,76.00,true,21.00,30,STF-0046,Observation,High,Attendance Records,Significant improvement,PRG-005,COH-2025,false,None,Valid,2024-04-30T00:00:00.000Z,2024-05-07T00:00:00.000Z
OUT-783090,STU-001670,MTR-005,2025-06-15,Q3 2024,37.00,null,86.00,false,11.00,91,STF-0029,Self-Assessment,Low,Portfolio Review,,PRG-003,COH-2023,false,Resource Provision,Incomplete,2024-06-30T00:00:00.000Z,2024-07-07T00:00:00.000Z
OUT-783100,STU-000103,MTR-011,2025-06-25,Q1 2024,47.00,47.00,96.00,true,21.00,1,STF-0016,System Calculated,High,Project Completion,Needs additional support,PRG-012,COH-2024,true,None,Valid,2024-07-10T00:00:00.000Z,2024-07-17T00:00:00.000Z
OUT-783147,STU-000576,MTR-024,2025-08-11,Q4 2023,94.00,94.00,92.00,true,-3.00,48,STF-0016,External Assessment,High,Test Scores,First measurement,PRG-012,COH-2023,false,None,Valid,2024-08-26T00:00:00.000Z,2024-09-02T00:00:00.000Z
OUT-783170,STU-001443,MTR-004,2025-09-03,Q3 2023,16.00,16.00,64.00,false,20.00,71,STF-0050,Peer Review,Medium,Project Completion,Needs additional support,PRG-014,COH-2025,false,Mentorship,Valid,2024-09-18T00:00:00.000Z,2024-09-25T00:00:00.000Z
OUT-783179,STU-000561,MTR-022,2025-09-12,Q4 2025,25.00,25.00,73.00,false,29.00,80,STF-0045,Observation,Medium,Survey Response,External factors affected score,PRG-003,COH-2025,false,Mentorship,Valid,2024-09-27T00:00:00.000Z,2024-10-04T00:00:00.000Z
OUT-783223,STU-001998,MTR-004,2025-10-26,Q4 2024,69.00,69.00,66.00,true,2.00,24,STF-0030,Staff Evaluation,High,Portfolio Review,,PRG-005,COH-2024,true,None,Valid,2024-11-10T00:00:00.000Z,2024-11-17T00:00:00.000Z
OUT-783268,STU-001943,MTR-021,2025-12-10,Q1 2024,13.00,13.00,60.00,true,47.00,69,STF-0046,System Calculated,Medium,Project Completion,Needs additional support,PRG-005,COH-2024,false,Additional Tutoring,Valid,2024-12-25T00:00:00.000Z,2025-01-01T00:00:00.000Z
OUT-783286,STU-001443,MTR-030,2025-12-28,Q3 2025,31.00,31.00,78.00,false,-6.00,87,STF-0006,System Calculated,Medium,Portfolio Review,,PRG-012,COH-2024,false,Counseling,Estimated,2025-01-12T00:00:00.000Z,2025-01-19T00:00:00.000Z
OUT-783312,STU-000322,MTR-005,2025-01-23,Q1 2023,57.00,57.00,53.00,true,20.00,13,STF-0022,Self-Assessment,High,Survey Response,External factors affected score,PRG-008,COH-2023,true,None,Valid,2025-02-07T00:00:00.000Z,2025-02-14T00:00:00.000Z
OUT-783315,STU-000103,MTR-007,2025-01-26,Q4 2023,60.00,null,56.00,true,23.00,16,STF-0035,External Assessment,High,Test Scores,First measurement,PRG-007,COH-2023,true,None,Valid,2025-02-10T00:00:00.000Z,2025-02-17T00:00:00.000Z
OUT-783412,STU-001916,MTR-010,2025-05-03,Q1 2024,56.00,56.00,51.00,true,49.00,13,STF-0041,System Calculated,High,Portfolio Review,,PRG-007,COH-2024,true,None,Valid,2025-05-18T00:00:00.000Z,2025-05-25T00:00:00.000Z
OUT-783456,STU-000948,MTR-027,2025-06-16,Q1 2023,100.00,null,95.00,true,22.00,57,STF-0009,Self-Assessment,Medium,Attendance Records,Significant improvement,PRG-007,COH-2023,false,None,Valid,2025-07-01T00:00:00.000Z,2025-07-08T00:00:00.000Z
OUT-783465,STU-001239,MTR-017,2025-06-25,Q2 2025,8.00,null,53.00,true,31.00,66,STF-0037,External Assessment,Medium,Certification,Exceeded expectations,PRG-006,COH-2023,false,Additional Tutoring,Valid,2025-07-10T00:00:00.000Z,2025-07-17T00:00:00.000Z
OUT-783478,STU-000641,MTR-027,2025-07-08,Q3 2025,21.00,21.00,66.00,false,44.00,79,STF-0002,System Calculated,Medium,Project Completion,Needs additional support,PRG-002,COH-2024,false,Mentorship,Valid,2025-07-23T00:00:00.000Z,2025-07-30T00:00:00.000Z
OUT-783504,STU-000959,MTR-007,2025-08-03,Q1 2023,47.00,47.00,92.00,true,-1.00,5,STF-0049,Self-Assessment,High,Test Scores,First measurement,PRG-002,COH-2023,true,None,Valid,2025-08-18T00:00:00.000Z,2025-08-25T00:00:00.000Z
OUT-783534,STU-000556,MTR-002,2025-09-02,Q3 2024,77.00,77.00,71.00,true,29.00,35,STF-0030,Self-Assessment,High,Project Completion,Needs additional support,PRG-001,COH-2023,false,None,Valid,2025-09-17T00:00:00.000Z,2025-09-24T00:00:00.000Z
OUT-783535,STU-000842,MTR-013,2025-09-03,Q4 2024,78.00,null,72.00,true,30.00,36,STF-0043,Staff Evaluation,High,Certification,Exceeded expectations,PRG-006,COH-2024,false,None,Valid,2025-09-18T00:00:00.000Z,2025-09-25T00:00:00.000Z
OUT-783557,STU-001855,MTR-002,2025-09-25,Q2 2024,100.00,100.00,94.00,true,-19.00,58,STF-0028,Observation,Medium,Survey Response,External factors affected score,PRG-015,COH-2025,false,None,Valid,2025-10-10T00:00:00.000Z,2025-10-17T00:00:00.000Z
OUT-783561,STU-000959,MTR-010,2025-09-29,Q2 2025,3.00,3.00,98.00,true,-15.00,62,STF-0040,External Assessment,Medium,Attendance Records,Significant improvement,PRG-004,COH-2023,false,Additional Tutoring,Valid,2025-10-14T00:00:00.000Z,2025-10-21T00:00:00.000Z
OUT-783637,STU-000259,MTR-030,2025-12-14,Q2 2023,79.00,79.00,72.00,true,-10.00,38,STF-0004,Staff Evaluation,High,Test Scores,First measurement,PRG-005,COH-2024,false,None,Valid,2025-12-29T00:00:00.000Z,2026-01-05T00:00:00.000Z
OUT-783646,STU-001635,MTR-009,2025-12-23,Q3 2025,88.00,null,81.00,true,-1.00,47,STF-0040,System Calculated,High,Project Completion,Needs additional support,PRG-005,COH-2024,false,None,Valid,2023-01-07T00:00:00.000Z,2023-01-14T00:00:00.000Z
OUT-783684,STU-001524,MTR-023,2025-01-30,Q1 2023,25.00,25.00,68.00,false,37.00,85,STF-0030,Self-Assessment,Medium,Observation Notes,On track,PRG-014,COH-2023,false,Counseling,Estimated,2023-02-14T00:00:00.000Z,2023-02-21T00:00:00.000Z
OUT-783690,STU-000454,MTR-017,2025-02-05,Q3 2024,31.00,null,74.00,false,43.00,91,STF-0010,Self-Assessment,Low,Survey Response,External factors affected score,PRG-006,COH-2023,false,Resource Provision,Incomplete,2023-02-20T00:00:00.000Z,2023-02-27T00:00:00.000Z
OUT-783731,STU-001670,MTR-007,2025-03-18,Q4 2025,72.00,72.00,64.00,true,13.00,32,STF-0032,Observation,High,Certification,Exceeded expectations,PRG-006,COH-2025,false,None,Valid,2023-04-02T00:00:00.000Z,2023-04-09T00:00:00.000Z
OUT-783786,STU-001392,MTR-007,2025-05-12,Q3 2024,26.00,26.00,68.00,false,-3.00,87,STF-0028,Self-Assessment,Medium,Project Completion,Needs additional support,PRG-015,COH-2023,false,Counseling,Estimated,2023-05-27T00:00:00.000Z,2023-06-03T00:00:00.000Z
OUT-783793,STU-000033,MTR-027,2025-05-19,Q2 2023,33.00,33.00,75.00,false,4.00,94,STF-0030,Staff Evaluation,Low,Project Completion,Needs additional support,PRG-007,COH-2024,false,Resource Provision,Incomplete,2023-06-03T00:00:00.000Z,2023-06-10T00:00:00.000Z
